0,1,2,3,4,5,6
Period,WHOLESALE (Peso per LKg),RETAIL (Peso per Kilo),,,,
,Raw,Washed,Refined,Raw,Washed,Refined
September '10,"2,332.08","2,497.50","2,603.67",51.18,53.69,55.17
October,"2,490.43","2,649.24","2,756.94",51.91,53.79,54.70
November,"2,533.92","2,757.20","2,940.74",54.32,56.12,57.52
December,"2,571.81","2,837.73","3,084.31",57.43,58.82,62.84
January  2011,"2,500.67","2,758.75","3,039.21",58.69,61.10,65.01
February,"2,375.57","2,611.52","2,870.08",59.07,61.19,65.54
March,"2,099.63","2,317.13","2,589.19",57.37,60.07,63.26
April,"1,975.07","2,224.58","2,492.14",55.01,57.83,61.68
May,"1,818.79","2,019.33","2,315.29",53.24,56.19,60.04
June,"1,561.83","1,787.70","2,045.71",49.92,53.24,57.15
July,"1,443.96","1,668.68","1,910.60",44.97,47.77,51.17
August,"1,457.45","1,586.12","1,888.33",41.66,45.17,48.33
Average,"2,096.77","2 ,309.62","2,544.68",52.90,55.42,58.53
