0,1,2,3,4,5,6
Period,WHOLESALE (Peso per LKg),RETAIL (Peso per Kilo),,,,
,Raw,Washed,Refined,Raw,Washed,Refined
September '11,"1,457.72","1,632.06","1,919.02",40.45,43.78,47.10
October,"1,435.68","1,607.19","1,864.51",40.34,43.16,46.76
November,"1,393.33","1,536.17","1,772.96",38.95,41.79,45.41
December,"1,397.61","1,530.00","1,814.29",38.35,40.89,44.51
January  2012,"1,390.57","1,537.40","1,838.16",37.76,40.10,43.92
February,"1,422.35","1,538.75","1,851.85",36.72,39.05,43.31
March,"1,518.94","1,599.44","1,981.01",36.50,39.10,43.73
April,"1,621.96","1,727.05","2,060.94",37.37,39.97,45.04
May,"1,621.96","1,764.69","2,062.77",38.99,41.22,46.34
June,"1,785.24","1,895.69","2,258.54",39.84,42.32,47.44
July,"1,787.57","1,937.64","2,286.51",42.86,45.30,50.82
August,"1,782.11","1,928.06","2,291.37",43.30,45.82,51.49
Average,"1,551.25","1,686.18","2 ,000.16",39.29,41.88,46.32
