0,1,2,3,4,5,6
Period,WHOLESALE (Peso per LKg),RETAIL (Peso per Kilo),,,,
,Raw,Washed,Refined,Raw,Washed,Refined
September '14,"1,714.00","1,967.61","2,195.86",44.23,47.57,51.51
October,"1,673.75","1,895.47","2,115.75",44.19,47.53,51.46
November,"1,674.00","1,815.00","2,056.00",44.12,47.53,51.28
December,"1,654.80","1,815.50","2,090.80",44.48,47.87,51.65
January  2015,"1,656.00","1,805.00","2,140.00",44.01,47.50,51.19
February,"1,704.38","1,819.38","2,166.25",43.96,47.46,51.25
March,"1,769.33","1,884.44","2,230.67",43.89,47.38,51.15
April,"1,872.00","2,006.43","2,321.71",44.64,47.95,51.95
May,"1,942.75","2,099.69","2,434.25",45.51,48.89,52.88
June,"1,925.50","2,099.06","2,441.00",46.17,49.65,53.79
July,"1,876.25","2,052.81","2,428.50",47.12,50.28,54.51
August,"1,828.50","1,993.75","2,409.00",47.31,50.46,54.67
Average,"1,774.27","1 ,937.85","2,252.48",44.97,48.34,52.27
