0,1,2,3,4,5
MONTH,"CROP YEAR2019-2020","CROP YEAR2018-2019","CROP YEAR2017-2018","CROP YEAR2016-2017","CROP YEAR2015-2016"
September,"17,788","54,775","11,692","20,856","51,372"
October,"100,162","125,271","125,175","127,204","116,333"
November,"141,342","183,360","180,585","158,404","242,748"
December,"281,817","324,958","303,101","254,142","305,998"
January,"300,162","303,232","256,336","345,500","487,342"
February,"366,939","383,372","316,825","391,748","414,241"
March,"453,743","447,180","314,370","399,240","310,197"
April,"239,297","180,948","365,901","387,838","192,698"
May,"197,247","57,427","148,425","248,421","94,792"
June,"43,417","11,828","48,258","128,233","19,506"
July,"3,779",-,"12,914","38,262",7 91
August,-,"1,759",59,661,"2,854"
"Total Production(MT)","2,145,693","2,074,110","2,083,641","2,500,509","2,238,872"
"Total Area(Hectares)","403,101","409,714","418,215","421,358","413,435"
"Yield per Hectare(LKg/Ha.)",106.46,101.25,9 9.64,118.69,108.31
