0,1,2,3,4,5
MONTH,"CROP YEAR2019-2020","CROP YEAR2018-2019","CROP YEAR2017-2018","CROP YEAR2016-2017","CROP YEAR2015-2016"
September,"91,060","757,891",-,"9,950","240,152"
October,"665,091","810,279","868,845","315,233","795,563"
November,"1,111,739","1,256,259","1,079,092","965,039","2,017,130"
December,"1,912,942","2,041,408","2,303,886","1,731,373","2,261,678"
January,"1,847,923","1,799,640","1,700,890","2,284,862","3,307,249"
February,"2,717,093","2,474,079","2,697,492","2,491,933","3,103,359"
March,"3,515,958","3,385,468","2,753,885","2,921,022","2,657,010"
April,"1,632,007","1,787,896","3,078,483","3,314,421","2,249,222"
May,"1,693,947","1,195,300","1,964,456","2,158,989","1,590,325"
June,"1,270,593","415,061","1,068,651","1,358,612","846,991"
July,"332,504","63,488","999,874","1,260,255","77,950"
August,-,"556,988","17,994","440,511",-
T O T AL,"16,790,857","16,543,757","18,533,548","19,252,200","19,146,629"
AVERAGE,"1,399,238","1,378,646","1,544,462","1,604,350","1,595,552"
