crop_year,crop_year_start,month,month_order,price_type,sugar_class,product_type,unit,price,source_period,source_file
2011-2012,2011,February,6,"""A"" Export","""A""",raw_sugar,PHP/LKg,1585.54,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,February,6,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,2050.58,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,February,6,Composite Price,,raw_sugar,PHP/LKg,2018.03,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,February,6,Molasses,,molasses,PHP/MT,6552.68,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,March,7,"""A"" Export","""A""",raw_sugar,PHP/LKg,1558.82,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,March,7,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,1848.0,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,March,7,Composite Price,,raw_sugar,PHP/LKg,1827.76,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,March,7,Molasses,,molasses,PHP/MT,5411.88,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,April,8,"""A"" Export","""A""",raw_sugar,PHP/LKg,1501.3,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,April,8,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,1789.53,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,April,8,Composite Price,,raw_sugar,PHP/LKg,1769.35,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,April,8,Molasses,,molasses,PHP/MT,4527.5,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,May,9,"""A"" Export","""A""",raw_sugar,PHP/LKg,1256.89,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,May,9,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,1462.2,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,May,9,Composite Price,,raw_sugar,PHP/LKg,1447.83,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,May,9,Molasses,,molasses,PHP/MT,3022.67,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,June,10,"""A"" Export","""A""",raw_sugar,PHP/LKg,1164.55,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,June,10,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,1326.83,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,June,10,Composite Price,,raw_sugar,PHP/LKg,1315.47,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,June,10,Molasses,,molasses,PHP/MT,2818.99,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,July,11,"""A"" Export","""A""",raw_sugar,PHP/LKg,1124.33,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,July,11,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,1280.67,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,July,11,Composite Price,,raw_sugar,PHP/LKg,1269.73,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,July,11,Molasses,,molasses,PHP/MT,2406.5,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,August,12,"""A"" Export","""A""",raw_sugar,PHP/LKg,1122.5,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,August,12,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,1245.0,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,August,12,Composite Price,,raw_sugar,PHP/LKg,1236.43,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,August,12,Molasses,,molasses,PHP/MT,2605.0,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2012-2013,2012,September,1,"""A"" Export","""A""",raw_sugar,PHP/LKg,999.85,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,September,1,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,1538.12,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,September,1,"""D"" World Market","""D""",raw_sugar,PHP/LKg,953.43,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,September,1,Composite Price,,raw_sugar,PHP/LKg,1437.52,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,September,1,Molasses,,molasses,PHP/MT,5665.38,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,October,2,"""A"" Export","""A""",raw_sugar,PHP/LKg,877.96,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,October,2,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,1374.11,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,October,2,"""D"" World Market","""D""",raw_sugar,PHP/LKg,875.11,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,October,2,Composite Price,,raw_sugar,PHP/LKg,1284.58,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,October,2,Molasses,,molasses,PHP/MT,6370.2,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,November,3,"""A"" Export","""A""",raw_sugar,PHP/LKg,779.75,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,November,3,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,1307.02,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,November,3,"""D"" World Market","""D""",raw_sugar,PHP/LKg,788.21,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,November,3,Composite Price,,raw_sugar,PHP/LKg,1212.79,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,November,3,Molasses,,molasses,PHP/MT,5380.38,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,December,4,"""A"" Export","""A""",raw_sugar,PHP/LKg,777.41,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,December,4,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,1297.31,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,December,4,"""D"" World Market","""D""",raw_sugar,PHP/LKg,795.09,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,December,4,Composite Price,,raw_sugar,PHP/LKg,1205.14,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,December,4,Molasses,,molasses,PHP/MT,5619.31,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,January,5,"""A"" Export","""A""",raw_sugar,PHP/LKg,1275.19,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,January,5,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,1273.04,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,January,5,"""D"" World Market","""D""",raw_sugar,PHP/LKg,1120.17,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,January,5,Composite Price,,raw_sugar,PHP/LKg,1242.64,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,January,5,Molasses,,molasses,PHP/MT,3544.53,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,February,6,"""A"" Export","""A""",raw_sugar,PHP/LKg,1233.24,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,February,6,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,1291.03,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,February,6,"""D"" World Market","""D""",raw_sugar,PHP/LKg,1139.38,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,February,6,Composite Price,,raw_sugar,PHP/LKg,1256.08,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,February,6,Molasses,,molasses,PHP/MT,4249.93,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,March,7,"""A"" Export","""A""",raw_sugar,PHP/LKg,1299.74,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
