crop_year,crop_year_start,month,month_order,price_kind,market_level,product_type,unit,price,source_period,source_file
2010-2011,2010,March,7,monthly_average,retail_wet_market,washed_sugar,PHP/kg,60.07,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,March,7,monthly_average,wholesale,raw_sugar,PHP/LKg,2099.63,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,March,7,monthly_average,wholesale,refined_sugar,PHP/LKg,2589.19,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,March,7,monthly_average,wholesale,washed_sugar,PHP/LKg,2317.13,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,April,8,monthly_average,retail_wet_market,raw_sugar,PHP/kg,55.01,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,April,8,monthly_average,retail_wet_market,refined_sugar,PHP/kg,61.68,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,April,8,monthly_average,retail_wet_market,washed_sugar,PHP/kg,57.83,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,April,8,monthly_average,wholesale,raw_sugar,PHP/LKg,1975.07,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,April,8,monthly_average,wholesale,refined_sugar,PHP/LKg,2492.14,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,April,8,monthly_average,wholesale,washed_sugar,PHP/LKg,2224.58,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,May,9,monthly_average,retail_wet_market,raw_sugar,PHP/kg,53.24,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,May,9,monthly_average,retail_wet_market,refined_sugar,PHP/kg,60.04,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,May,9,monthly_average,retail_wet_market,washed_sugar,PHP/kg,56.19,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,May,9,monthly_average,wholesale,raw_sugar,PHP/LKg,1818.79,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
