crop_year,crop_year_start,month,month_order,price_type,sugar_class,product_type,unit,raw_value,survey_status,price,include_in_analysis,source_period,source_file
2013-2014,2013,January,5,"""D"" World Market","""D""",raw_sugar,PHP/LKg,773.91,reported,773.91,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,January,5,Composite Price,,raw_sugar,PHP/LKg,"1,237.08",reported,1237.08,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,January,5,Molasses,,molasses,PHP/MT,"5,846.00",reported,5846.0,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,February,6,"""A"" Export","""A""",raw_sugar,PHP/LKg,751.00,reported,751.0,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,February,6,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1 ,363.50",reported,1363.5,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,February,6,"""D"" World Market","""D""",raw_sugar,PHP/LKg,778.25,reported,778.25,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,February,6,Composite Price,,raw_sugar,PHP/LKg,"1,255.43",reported,1255.43,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,February,6,Molasses,,molasses,PHP/MT,"5,552.00",reported,5552.0,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,March,7,"""A"" Export","""A""",raw_sugar,PHP/LKg,712.40,reported,712.4,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,March,7,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1 ,378.40",reported,1378.4,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,March,7,"""D"" World Market","""D""",raw_sugar,PHP/LKg,778.80,reported,778.8,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,March,7,Composite Price,,raw_sugar,PHP/LKg,"1,263.83",reported,1263.83,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,March,7,Molasses,,molasses,PHP/MT,"5,586.40",reported,5586.4,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,April,8,"""A"" Export","""A""",raw_sugar,PHP/LKg,676.25,reported,676.25,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,April,8,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1 ,436.25",reported,1436.25,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,April,8,"""D"" World Market","""D""",raw_sugar,PHP/LKg,748.75,reported,748.75,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,April,8,Composite Price,,raw_sugar,PHP/LKg,"1,305.25",reported,1305.25,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,April,8,Molasses,,molasses,PHP/MT,"5,982.25",reported,5982.25,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,May,9,"""A"" Export","""A""",raw_sugar,PHP/LKg,643.07,reported,643.07,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,May,9,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1 ,435.09",reported,1435.09,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,May,9,"""D"" World Market","""D""",raw_sugar,PHP/LKg,714.95,reported,714.95,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,May,9,Composite Price,,raw_sugar,PHP/LKg,"1,298.28",reported,1298.28,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,May,9,Molasses,,molasses,PHP/MT,"5,620.21",reported,5620.21,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,June,10,"""A"" Export","""A""",raw_sugar,PHP/LKg,647.00,reported,647.0,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,June,10,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1 ,438.20",reported,1438.2,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,June,10,"""D"" World Market","""D""",raw_sugar,PHP/LKg,727.00,reported,727.0,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,June,10,Composite Price,,raw_sugar,PHP/LKg,"1,302.18",reported,1302.18,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,June,10,Molasses,,molasses,PHP/MT,"6,625.00",reported,6625.0,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,July,11,"""A"" Export","""A""",raw_sugar,PHP/LKg,636.25,reported,636.25,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,July,11,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1 ,422.50",reported,1422.5,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,July,11,"""D"" World Market","""D""",raw_sugar,PHP/LKg,687.50,reported,687.5,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,July,11,Composite Price,,raw_sugar,PHP/LKg,"1,285.08",reported,1285.08,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,July,11,Molasses,,molasses,PHP/MT,"6,125.00",reported,6125.0,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,August,12,"""A"" Export","""A""",raw_sugar,PHP/LKg,656.67,reported,656.67,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,August,12,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1 ,416.25",reported,1416.25,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,August,12,"""D"" World Market","""D""",raw_sugar,PHP/LKg,646.67,reported,646.67,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,August,12,Composite Price,,raw_sugar,PHP/LKg,"1,278.73",reported,1278.73,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,August,12,Molasses,,molasses,PHP/MT,"5,918.75",reported,5918.75,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2014-2015,2014,September,1,"""A"" Export","""A""",raw_sugar,PHP/LKg,956.37,reported,956.37,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2014-2015,2014,September,1,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1,517.83",reported,1517.83,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2014-2015,2014,September,1,"""D"" World Market","""D""",raw_sugar,PHP/LKg,740.27,reported,740.27,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2014-2015,2014,September,1,Composite Price,,raw_sugar,PHP/LKg,"1,450.88",reported,1450.88,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2014-2015,2014,September,1,Molasses,,molasses,PHP/MT,"6,498.97",reported,6498.97,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2014-2015,2014,October,2,"""A"" Export","""A""",raw_sugar,PHP/LKg,995.04,reported,995.04,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2014-2015,2014,October,2,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1,519.58",reported,1519.58,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2014-2015,2014,October,2,"""D"" World Market","""D""",raw_sugar,PHP/LKg,865.67,reported,865.67,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2014-2015,2014,October,2,Composite Price,,raw_sugar,PHP/LKg,"1,460.66",reported,1460.66,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2014-2015,2014,October,2,Molasses,,molasses,PHP/MT,"6,620.94",reported,6620.94,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2014-2015,2014,November,3,"""A"" Export","""A""",raw_sugar,PHP/LKg,915.27,reported,915.27,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2014-2015,2014,November,3,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1,458.78",reported,1458.78,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2014-2015,2014,November,3,"""D"" World Market","""D""",raw_sugar,PHP/LKg,855.85,reported,855.85,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2014-2015,2014,November,3,Composite Price,,raw_sugar,PHP/LKg,"1,401.46",reported,1401.46,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2014-2015,2014,November,3,Molasses,,molasses,PHP/MT,"6,454.62",reported,6454.62,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2014-2015,2014,December,4,"""A"" Export","""A""",raw_sugar,PHP/LKg,852.03,reported,852.03,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2014-2015,2014,December,4,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1,481.15",reported,1481.15,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2014-2015,2014,December,4,"""D"" World Market","""D""",raw_sugar,PHP/LKg,755.79,reported,755.79,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2014-2015,2014,December,4,Composite Price,,raw_sugar,PHP/LKg,"1,413.43",reported,1413.43,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2014-2015,2014,December,4,Molasses,,molasses,PHP/MT,"6,483.07",reported,6483.07,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2014-2015,2014,January,5,"""A"" Export","""A""",raw_sugar,PHP/LKg,752.19,reported,752.19,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2014-2015,2014,January,5,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1,411.15",reported,1411.15,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2014-2015,2014,January,5,"""D"" World Market","""D""",raw_sugar,PHP/LKg,747.38,reported,747.38,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2014-2015,2014,January,5,Composite Price,,raw_sugar,PHP/LKg,"1,318.32",reported,1318.32,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2014-2015,2014,January,5,Molasses,,molasses,PHP/MT,"6,102.01",reported,6102.01,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2014-2015,2014,February,6,"""A"" Export","""A""",raw_sugar,PHP/LKg,792.28,reported,792.28,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2014-2015,2014,February,6,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1,456.66",reported,1456.66,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2014-2015,2014,February,6,"""D"" World Market","""D""",raw_sugar,PHP/LKg,783.43,reported,783.43,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2014-2015,2014,February,6,Composite Price,,raw_sugar,PHP/LKg,"1,383.31",reported,1383.31,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2014-2015,2014,February,6,Molasses,,molasses,PHP/MT,"5,996.65",reported,5996.65,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2014-2015,2014,March,7,"""A"" Export","""A""",raw_sugar,PHP/LKg,810.68,reported,810.68,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2014-2015,2014,March,7,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1,519.81",reported,1519.81,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2014-2015,2014,March,7,"""D"" World Market","""D""",raw_sugar,PHP/LKg,814.16,reported,814.16,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2014-2015,2014,March,7,Composite Price,,raw_sugar,PHP/LKg,"1,480.64",reported,1480.64,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2014-2015,2014,March,7,Molasses,,molasses,PHP/MT,"5,805.82",reported,5805.82,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2014-2015,2014,April,8,"""A"" Export","""A""",raw_sugar,PHP/LKg,855.58,reported,855.58,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2014-2015,2014,April,8,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1,646.14",reported,1646.14,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2014-2015,2014,April,8,"""D"" World Market","""D""",raw_sugar,PHP/LKg,838.08,reported,838.08,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2014-2015,2014,April,8,Composite Price,,raw_sugar,PHP/LKg,"1,614.17",reported,1614.17,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2014-2015,2014,April,8,Molasses,,molasses,PHP/MT,"6,038.04",reported,6038.04,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2014-2015,2014,May,9,"""A"" Export","""A""",raw_sugar,PHP/LKg,906.48,reported,906.48,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2014-2015,2014,May,9,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1,710.43",reported,1710.43,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2014-2015,2014,May,9,"""D"" World Market","""D""",raw_sugar,PHP/LKg,,missing,,False,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2014-2015,2014,May,9,Composite Price,,raw_sugar,PHP/LKg,"1,694.35",reported,1694.35,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2014-2015,2014,May,9,Molasses,,molasses,PHP/MT,"5,860.58",reported,5860.58,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2014-2015,2014,June,10,"""A"" Export","""A""",raw_sugar,PHP/LKg,951.60,reported,951.6,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2014-2015,2014,June,10,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1,652.59",reported,1652.59,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2014-2015,2014,June,10,"""D"" World Market","""D""",raw_sugar,PHP/LKg,,missing,,False,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2014-2015,2014,June,10,Composite Price,,raw_sugar,PHP/LKg,"1,638.57",reported,1638.57,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2014-2015,2014,June,10,Molasses,,molasses,PHP/MT,"6,187.50",reported,6187.5,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2014-2015,2014,July,11,"""A"" Export","""A""",raw_sugar,PHP/LKg,700.00,reported,700.0,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2014-2015,2014,July,11,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1,622.52",reported,1622.52,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2014-2015,2014,July,11,"""D"" World Market","""D""",raw_sugar,PHP/LKg,,missing,,False,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2014-2015,2014,July,11,Composite Price,,raw_sugar,PHP/LKg,"1,604.07",reported,1604.07,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2014-2015,2014,July,11,Molasses,,molasses,PHP/MT,,missing,,False,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2014-2015,2014,August,12,"""A"" Export","""A""",raw_sugar,PHP/LKg,905.00,reported,905.0,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2014-2015,2014,August,12,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1 ,621.25",reported,1621.25,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2014-2015,2014,August,12,"""D"" World Market","""D""",raw_sugar,PHP/LKg,,missing,,False,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2014-2015,2014,August,12,Composite Price,,raw_sugar,PHP/LKg,"1,606.93",reported,1606.93,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2014-2015,2014,August,12,Molasses,,molasses,PHP/MT,,missing,,False,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2015-2016,2015,September,1,"""A"" Export","""A""",raw_sugar,PHP/LKg,,missing,,False,2015-2020,data\extracted\millsite_prices\2015-2020\table_06_lattice.csv
2015-2016,2015,September,1,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1,662.83",reported,1662.83,True,2015-2020,data\extracted\millsite_prices\2015-2020\table_06_lattice.csv
2015-2016,2015,September,1,Composite Price,,raw_sugar,PHP/LKg,"1,662.83",reported,1662.83,True,2015-2020,data\extracted\millsite_prices\2015-2020\table_06_lattice.csv
2015-2016,2015,September,1,Molasses,,molasses,PHP/MT,"8,483.76",reported,8483.76,True,2015-2020,data\extracted\millsite_prices\2015-2020\table_06_lattice.csv
2015-2016,2015,October,2,"""A"" Export","""A""",raw_sugar,PHP/LKg,,missing,,False,2015-2020,data\extracted\millsite_prices\2015-2020\table_06_lattice.csv
2015-2016,2015,October,2,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1,706.34",reported,1706.34,True,2015-2020,data\extracted\millsite_prices\2015-2020\table_06_lattice.csv
2015-2016,2015,October,2,Composite Price,,raw_sugar,PHP/LKg,"1,706.34",reported,1706.34,True,2015-2020,data\extracted\millsite_prices\2015-2020\table_06_lattice.csv
2015-2016,2015,October,2,Molasses,,molasses,PHP/MT,"9,631.31",reported,9631.31,True,2015-2020,data\extracted\millsite_prices\2015-2020\table_06_lattice.csv
2015-2016,2015,November,3,"""A"" Export","""A""",raw_sugar,PHP/LKg,,missing,,False,2015-2020,data\extracted\millsite_prices\2015-2020\table_06_lattice.csv
2015-2016,2015,November,3,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1,766.37",reported,1766.37,True,2015-2020,data\extracted\millsite_prices\2015-2020\table_06_lattice.csv
2015-2016,2015,November,3,Composite Price,,raw_sugar,PHP/LKg,"1,766.37",reported,1766.37,True,2015-2020,data\extracted\millsite_prices\2015-2020\table_06_lattice.csv
2015-2016,2015,November,3,Molasses,,molasses,PHP/MT,"9,120.32",reported,9120.32,True,2015-2020,data\extracted\millsite_prices\2015-2020\table_06_lattice.csv
2015-2016,2015,December,4,"""A"" Export","""A""",raw_sugar,PHP/LKg,,missing,,False,2015-2020,data\extracted\millsite_prices\2015-2020\table_06_lattice.csv
2015-2016,2015,December,4,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1,820.75",reported,1820.75,True,2015-2020,data\extracted\millsite_prices\2015-2020\table_06_lattice.csv
2015-2016,2015,December,4,Composite Price,,raw_sugar,PHP/LKg,"1,820.75",reported,1820.75,True,2015-2020,data\extracted\millsite_prices\2015-2020\table_06_lattice.csv
2015-2016,2015,December,4,Molasses,,molasses,PHP/MT,"8,232.46",reported,8232.46,True,2015-2020,data\extracted\millsite_prices\2015-2020\table_06_lattice.csv
2015-2016,2015,January,5,"""A"" Export","""A""",raw_sugar,PHP/LKg,875.13,reported,875.13,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2015-2016,2015,January,5,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1,486.97",reported,1486.97,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2015-2016,2015,January,5,"""D"" World Market","""D""",raw_sugar,PHP/LKg,773.30,reported,773.3,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2015-2016,2015,January,5,Composite Price,,raw_sugar,PHP/LKg,"1,389.09",reported,1389.09,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2015-2016,2015,January,5,Molasses,,molasses,PHP/MT,"7,274.91",reported,7274.91,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2015-2016,2015,February,6,"""A"" Export","""A""",raw_sugar,PHP/LKg,850.24,reported,850.24,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2015-2016,2015,February,6,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1,525.34",reported,1525.34,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2015-2016,2015,February,6,"""D"" World Market","""D""",raw_sugar,PHP/LKg,808.06,reported,808.06,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2015-2016,2015,February,6,Composite Price,,raw_sugar,PHP/LKg,"1,455.72",reported,1455.72,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2015-2016,2015,February,6,Molasses,,molasses,PHP/MT,"8,019.31",reported,8019.31,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2015-2016,2015,March,7,"""A"" Export","""A""",raw_sugar,PHP/LKg,830.05,reported,830.05,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2015-2016,2015,March,7,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1,584.63",reported,1584.63,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2015-2016,2015,March,7,"""D"" World Market","""D""",raw_sugar,PHP/LKg,830.75,reported,830.75,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2015-2016,2015,March,7,Composite Price,,raw_sugar,PHP/LKg,"1,527.69",reported,1527.69,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2015-2016,2015,March,7,Molasses,,molasses,PHP/MT,"7,468.89",reported,7468.89,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2015-2016,2015,April,8,"""A"" Export","""A""",raw_sugar,PHP/LKg,823.75,reported,823.75,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2015-2016,2015,April,8,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1,691.63",reported,1691.63,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2015-2016,2015,April,8,"""D"" World Market","""D""",raw_sugar,PHP/LKg,,missing,,False,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2015-2016,2015,April,8,Composite Price,,raw_sugar,PHP/LKg,"1,648.24",reported,1648.24,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2015-2016,2015,April,8,Molasses,,molasses,PHP/MT,"7,263.07",reported,7263.07,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2015-2016,2015,May,9,"""A"" Export","""A""",raw_sugar,PHP/LKg,888.78,reported,888.78,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2015-2016,2015,May,9,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1,710.21",reported,1710.21,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2015-2016,2015,May,9,"""D"" World Market","""D""",raw_sugar,PHP/LKg,,missing,,False,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2015-2016,2015,May,9,Composite Price,,raw_sugar,PHP/LKg,"1,677.25",reported,1677.25,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2015-2016,2015,May,9,Molasses,,molasses,PHP/MT,"7,189.72",reported,7189.72,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2015-2016,2015,June,10,"""A"" Export","""A""",raw_sugar,PHP/LKg,,missing,,False,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2015-2016,2015,June,10,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1,690.00",reported,1690.0,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2015-2016,2015,June,10,"""D"" World Market","""D""",raw_sugar,PHP/LKg,,missing,,False,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2015-2016,2015,June,10,Composite Price,,raw_sugar,PHP/LKg,"1,690.00",reported,1690.0,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2015-2016,2015,June,10,Molasses,,molasses,PHP/MT,"6,580.83",reported,6580.83,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2015-2016,2015,July,11,"""A"" Export","""A""",raw_sugar,PHP/LKg,,missing,,False,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2015-2016,2015,July,11,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,,missing,,False,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2015-2016,2015,July,11,"""D"" World Market","""D""",raw_sugar,PHP/LKg,,missing,,False,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2015-2016,2015,July,11,Composite Price,,raw_sugar,PHP/LKg,,missing,,False,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2015-2016,2015,July,11,Molasses,,molasses,PHP/MT,,missing,,False,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2015-2016,2015,August,12,"""A"" Export","""A""",raw_sugar,PHP/LKg,,missing,,False,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2015-2016,2015,August,12,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,,missing,,False,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2015-2016,2015,August,12,"""D"" World Market","""D""",raw_sugar,PHP/LKg,,missing,,False,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2015-2016,2015,August,12,Composite Price,,raw_sugar,PHP/LKg,,missing,,False,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2015-2016,2015,August,12,Molasses,,molasses,PHP/MT,,missing,,False,2010-2015,data\extracted\millsite_prices\2010-2015\table_01_lattice.csv
2016-2017,2016,September,1,"""A"" Export","""A""",raw_sugar,PHP/LKg,976.33,reported,976.33,True,2015-2020,data\extracted\millsite_prices\2015-2020\table_05_lattice.csv
2016-2017,2016,September,1,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1,784.92",reported,1784.92,True,2015-2020,data\extracted\millsite_prices\2015-2020\table_05_lattice.csv
2016-2017,2016,September,1,"""D"" World Market","""D""",raw_sugar,PHP/LKg,,missing,,False,2015-2020,data\extracted\millsite_prices\2015-2020\table_05_lattice.csv
2016-2017,2016,September,1,Composite Price,,raw_sugar,PHP/LKg,"1,720.23",reported,1720.23,True,2015-2020,data\extracted\millsite_prices\2015-2020\table_05_lattice.csv
