crop_year,crop_year_start,month,month_order,price_type,sugar_class,product_type,unit,raw_value,survey_status,price,include_in_analysis,source_period,source_file
2011-2012,2011,December,4,Composite Price,,raw_sugar,PHP/LKg,"1,218.77",reported,1218.77,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,December,4,Molasses,,molasses,PHP/MT,"3,470.54",reported,3470.54,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,January,5,"""A"" Export","""A""",raw_sugar,PHP/LKg,"1,549.75",reported,1549.75,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,January,5,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"2 ,291.09",reported,2291.09,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,January,5,Composite Price,,raw_sugar,PHP/LKg,"2,239.20",reported,2239.2,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,January,5,Molasses,,molasses,PHP/MT,"6,799.42",reported,6799.42,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,February,6,"""A"" Export","""A""",raw_sugar,PHP/LKg,"1,585.54",reported,1585.54,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,February,6,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"2 ,050.58",reported,2050.58,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,February,6,Composite Price,,raw_sugar,PHP/LKg,"2,018.03",reported,2018.03,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,February,6,Molasses,,molasses,PHP/MT,"6,552.68",reported,6552.68,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,March,7,"""A"" Export","""A""",raw_sugar,PHP/LKg,"1,558.82",reported,1558.82,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,March,7,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1 ,848.00",reported,1848.0,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,March,7,Composite Price,,raw_sugar,PHP/LKg,"1,827.76",reported,1827.76,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,March,7,Molasses,,molasses,PHP/MT,"5,411.88",reported,5411.88,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,April,8,"""A"" Export","""A""",raw_sugar,PHP/LKg,"1,501.30",reported,1501.3,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,April,8,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1 ,789.53",reported,1789.53,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,April,8,Composite Price,,raw_sugar,PHP/LKg,"1,769.35",reported,1769.35,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,April,8,Molasses,,molasses,PHP/MT,"4,527.50",reported,4527.5,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,May,9,"""A"" Export","""A""",raw_sugar,PHP/LKg,"1,256.89",reported,1256.89,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,May,9,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1 ,462.20",reported,1462.2,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,May,9,Composite Price,,raw_sugar,PHP/LKg,"1,447.83",reported,1447.83,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,May,9,Molasses,,molasses,PHP/MT,"3,022.67",reported,3022.67,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,June,10,"""A"" Export","""A""",raw_sugar,PHP/LKg,"1,164.55",reported,1164.55,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,June,10,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1 ,326.83",reported,1326.83,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,June,10,Composite Price,,raw_sugar,PHP/LKg,"1,315.47",reported,1315.47,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,June,10,Molasses,,molasses,PHP/MT,"2,818.99",reported,2818.99,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
