0,1,2,3,4
Month,"""A"" Export","""B"" Domestic","CompositePrice","Molasses(Pesos/MT)"
"September, 2019","1,097.37","1,519.10","1,498.01","10,714.73"
October,"1,118.81","1,481.65","1,463.51","11,948.09"
November,"1,191.42","1,515.42","1,499.22","12,570.14"
December,"1,182.03","1,509.23","1,492.87","11,319.70"
"January,  2020","1,450.01","1,513.66","1,510.48","10,889.04"
February,"1,495.24","1,537.18","1,535.09","11,418.02"
March,"1,484.87","1,472.71","1,473.32","12,237.55"
April,"1,429.41","1,415.73","1,416.41","11,267.41"
May,"1,490.54","1,573.78","1,569.62","9,763.07"
June,"1,194.17","1,479.95","1,465.66","11,659.38"
July,"1,116.67","1,413.33","1,398.50","12,318.33"
August,Milling Operations Terminated,,,
AVERAGE,"1,295.50","1 ,493.80","1 ,483.88","11,464.13"
