0,1,2,3,4,5
Month,"""A"" Export","""B"" Domestic","""D"" World",Composite Price,"Molasses(Pesos/MT)"
"September, 2017","1,140.44","1,359.06",702.11,"1,271.50","6,761.67"
October,"1,171.90","1,329.94",709.77,"1,252.12","6,280.83"
November,"1,169.94","1,224.95",758.04,"1,172.76","4,109.35"
December,"1,179.51","1,301.31",760.85,"1,235.09","4,373.50"
"January,  2018","1,153.23","1,390.76",663.56,"1,313.45","4,651.46"
February,"1,139.23","1,386.26",635.62,"1,363.93","5,438.75"
March,"1,112.54","1,518.33",619.53,"1,484.99","6,607.73"
April,"1,135.38","1,651.65",624.31,"1,618.71","7,230.10"
