0,1,2,3,4,5
Month,"""A"" Export","""B"" Domestic","""D"" WorldMkt",Composite Price,"Molasses(Pesos/MT)"
"September, 2016",976.33,"1,784.92",,"1,720.23","9,900.00"
October,"1,082.64","1,652.85",,"1,607.23","10,153.30"
November,"1,240.42","1,680.18",,"1,644.99","10,189.27"
December,"1,253.24","1,546.48",,"1,523.02","9,427.78"
"January,  2017","1,258.40","1,538.26",,"1,517.13","9,078.78"
February,"1,318.97","1,470.36",,"1,461.27","8,657.96"
March,"1,334.37","1,382.37",872.78,"1,325.06","7,606.93"
April,"1,288.16","1,384.78",854.14,"1,272.85","6,562.26"
May,"1,230.98","1,384.78",754.76,"1,249.28","5,890.62"
June,"1,194.50","1,387.20",660.09,"1,230.22","6,951.62"
July,"1,157.11","1,323.92",636.61,"1,176.45","8,275.57"
August,terminated,,,,
AVERAGE,"1,212.28","1,503.28",755.68,"1,429.79","8,426.74"
