0,1,2,3,4,5
Month,"""A"" Export","""B"" Domestic(100%)",,Composite Price,"Molasses(Pesos/MT)"
"September, 2015",,"1,662.83",,"1,662.83","8,483.76"
October,,"1,706.34",,"1,706.34","9,631.31"
November,,"1,766.37",,"1,766.37","9,120.32"
December,,"1,820.75",,"1,820.75","8,232.46"
"January,  2016",,"1,846.45",,"1,846.45","8,796.17"
February,,"1,827.63",,"1,827.63","9,165.90"
March,,"1,844.70",,"1,844.70","8,931.73"
April,,"1,849.46",,"1,849.46","9,163.99"
May,,"1,799.29",,"1,799.29","9,020.30"
June,,"1,717.50",,"1,717.50","9,131.52"
July,,"1,645.00",,"1,645.00","7,585.00"
August,,"1,805.00",,"1,805.00","9,175.00"
AVERAGE,,"1,774.28",,"1,774.28","8,869.79"
