crop_year,month,month_order,product_type,sugar_class,metric,unit,value,source_period,source_file
2023-2024,February,6,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,208415.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2022-2023,February,6,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,153502.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2021-2022,February,6,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,238636.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2020-2021,February,6,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,183732.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2024-2025,March,7,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,221930.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2023-2024,March,7,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,245331.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2022-2023,March,7,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,214434.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2021-2022,March,7,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,258859.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2020-2021,March,7,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,242826.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2024-2025,April,8,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,162569.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2023-2024,April,8,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,129246.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2022-2023,April,8,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,209037.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2021-2022,April,8,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,180742.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2020-2021,April,8,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,241589.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2024-2025,May,9,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,198762.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2023-2024,May,9,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,184418.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2022-2023,May,9,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,136206.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2021-2022,May,9,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,184473.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2020-2021,May,9,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,252091.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2024-2025,June,10,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,184740.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2023-2024,June,10,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,128567.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2022-2023,June,10,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,113244.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2021-2022,June,10,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,150065.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2020-2021,June,10,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,158058.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2024-2025,July,11,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,154297.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2023-2024,July,11,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,126541.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2022-2023,July,11,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,90866.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2021-2022,July,11,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,99734.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2020-2021,July,11,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,133586.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2024-2025,August,12,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,140353.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2023-2024,August,12,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,124962.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2022-2023,August,12,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,69138.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2021-2022,August,12,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,55965.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2020-2021,August,12,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,146376.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2024-2025,September,1,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,85925.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
