crop_year,month,month_order,product_type,sugar_class,metric,unit,value,source_period,source_file
2010-2011,February,6,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,205651.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2014-2015,March,7,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,330341.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2013-2014,March,7,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,310016.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2012-2013,March,7,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,250657.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2011-2012,March,7,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,204341.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2010-2011,March,7,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,210924.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2014-2015,April,8,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,343668.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2013-2014,April,8,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,223747.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2012-2013,April,8,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,273794.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2011-2012,April,8,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,243650.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2010-2011,April,8,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,202628.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2014-2015,May,9,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,223619.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2013-2014,May,9,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,233190.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2012-2013,May,9,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,201383.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2011-2012,May,9,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,159065.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2010-2011,May,9,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,178174.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2014-2015,June,10,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,194450.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2013-2014,June,10,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,201574.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2012-2013,June,10,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,195825.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
