crop_year,month,month_order,product_type,metric,unit,value,source_period,source_file
2014-2015,May,9,raw_sugar,raw_sugar_production,MT,63238.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2013-2014,May,9,raw_sugar,raw_sugar_production,MT,82124.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2012-2013,May,9,raw_sugar,raw_sugar_production,MT,64050.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2011-2012,May,9,raw_sugar,raw_sugar_production,MT,98457.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2010-2011,May,9,raw_sugar,raw_sugar_production,MT,245817.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2014-2015,June,10,raw_sugar,raw_sugar_production,MT,4484.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2013-2014,June,10,raw_sugar,raw_sugar_production,MT,23862.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2012-2013,June,10,raw_sugar,raw_sugar_production,MT,15602.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2011-2012,June,10,raw_sugar,raw_sugar_production,MT,27934.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2010-2011,June,10,raw_sugar,raw_sugar_production,MT,78659.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2014-2015,July,11,raw_sugar,raw_sugar_production,MT,316.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2013-2014,July,11,raw_sugar,raw_sugar_production,MT,5564.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2012-2013,July,11,raw_sugar,raw_sugar_production,MT,343.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2011-2012,July,11,raw_sugar,raw_sugar_production,MT,4170.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2010-2011,July,11,raw_sugar,raw_sugar_production,MT,36437.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2014-2015,August,12,raw_sugar,raw_sugar_production,MT,7319.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2013-2014,August,12,raw_sugar,raw_sugar_production,MT,14381.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2012-2013,August,12,raw_sugar,raw_sugar_production,MT,7775.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2011-2012,August,12,raw_sugar,raw_sugar_production,MT,537.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2010-2011,August,12,raw_sugar,raw_sugar_production,MT,4907.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2019-2020,September,1,raw_sugar,raw_sugar_production,MT,17788.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
