crop_year,month,month_order,price_kind,market_level,product_type,unit,value_position,price,source_period,source_file
2014-2015,March,7,monthly_average,wholesale,refined_sugar,PHP/LKg,3,2230.67,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,March,7,monthly_average,retail_wet_market,raw_sugar,PHP/kg,4,43.89,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,March,7,monthly_average,retail_wet_market,washed_sugar,PHP/kg,5,47.38,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,March,7,monthly_average,retail_wet_market,refined_sugar,PHP/kg,6,51.15,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,April,8,monthly_average,wholesale,raw_sugar,PHP/LKg,1,1872.0,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,April,8,monthly_average,wholesale,washed_sugar,PHP/LKg,2,2006.43,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,April,8,monthly_average,wholesale,refined_sugar,PHP/LKg,3,2321.71,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,April,8,monthly_average,retail_wet_market,raw_sugar,PHP/kg,4,44.64,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,April,8,monthly_average,retail_wet_market,washed_sugar,PHP/kg,5,47.95,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,April,8,monthly_average,retail_wet_market,refined_sugar,PHP/kg,6,51.95,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,May,9,monthly_average,wholesale,raw_sugar,PHP/LKg,1,1942.75,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,May,9,monthly_average,wholesale,washed_sugar,PHP/LKg,2,2099.69,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,May,9,monthly_average,wholesale,refined_sugar,PHP/LKg,3,2434.25,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,May,9,monthly_average,retail_wet_market,raw_sugar,PHP/kg,4,45.51,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,May,9,monthly_average,retail_wet_market,washed_sugar,PHP/kg,5,48.89,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,May,9,monthly_average,retail_wet_market,refined_sugar,PHP/kg,6,52.88,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,June,10,monthly_average,wholesale,raw_sugar,PHP/LKg,1,1925.5,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,June,10,monthly_average,wholesale,washed_sugar,PHP/LKg,2,2099.06,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,June,10,monthly_average,wholesale,refined_sugar,PHP/LKg,3,2441.0,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,June,10,monthly_average,retail_wet_market,raw_sugar,PHP/kg,4,46.17,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,June,10,monthly_average,retail_wet_market,washed_sugar,PHP/kg,5,49.65,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,June,10,monthly_average,retail_wet_market,refined_sugar,PHP/kg,6,53.79,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,July,11,monthly_average,wholesale,raw_sugar,PHP/LKg,1,1876.25,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,July,11,monthly_average,wholesale,washed_sugar,PHP/LKg,2,2052.81,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,July,11,monthly_average,wholesale,refined_sugar,PHP/LKg,3,2428.5,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,July,11,monthly_average,retail_wet_market,raw_sugar,PHP/kg,4,47.12,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,July,11,monthly_average,retail_wet_market,washed_sugar,PHP/kg,5,50.28,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,July,11,monthly_average,retail_wet_market,refined_sugar,PHP/kg,6,54.51,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,August,12,monthly_average,wholesale,raw_sugar,PHP/LKg,1,1828.5,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,August,12,monthly_average,wholesale,washed_sugar,PHP/LKg,2,1993.75,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,August,12,monthly_average,wholesale,refined_sugar,PHP/LKg,3,2409.0,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,August,12,monthly_average,retail_wet_market,raw_sugar,PHP/kg,4,47.31,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,August,12,monthly_average,retail_wet_market,washed_sugar,PHP/kg,5,50.46,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,August,12,monthly_average,retail_wet_market,refined_sugar,PHP/kg,6,54.67,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2013-2014,September,1,monthly_average,wholesale,raw_sugar,PHP/LKg,1,1565.04,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,September,1,monthly_average,wholesale,washed_sugar,PHP/LKg,2,1749.79,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,September,1,monthly_average,wholesale,refined_sugar,PHP/LKg,3,1963.46,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,September,1,monthly_average,retail_wet_market,raw_sugar,PHP/kg,4,39.37,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,September,1,monthly_average,retail_wet_market,washed_sugar,PHP/kg,5,42.5,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,September,1,monthly_average,retail_wet_market,refined_sugar,PHP/kg,6,47.37,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,October,2,monthly_average,wholesale,raw_sugar,PHP/LKg,1,1633.19,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,October,2,monthly_average,wholesale,washed_sugar,PHP/LKg,2,1755.56,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,October,2,monthly_average,wholesale,refined_sugar,PHP/LKg,3,1991.67,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,October,2,monthly_average,retail_wet_market,raw_sugar,PHP/kg,4,39.18,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,October,2,monthly_average,retail_wet_market,washed_sugar,PHP/kg,5,42.06,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,October,2,monthly_average,retail_wet_market,refined_sugar,PHP/kg,6,47.17,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,November,3,monthly_average,wholesale,raw_sugar,PHP/LKg,1,1667.14,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,November,3,monthly_average,wholesale,washed_sugar,PHP/LKg,2,1789.64,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,November,3,monthly_average,wholesale,refined_sugar,PHP/LKg,3,2029.71,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,November,3,monthly_average,retail_wet_market,raw_sugar,PHP/kg,4,40.11,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,November,3,monthly_average,retail_wet_market,washed_sugar,PHP/kg,5,43.59,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,November,3,monthly_average,retail_wet_market,refined_sugar,PHP/kg,6,47.6,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,December,4,monthly_average,wholesale,raw_sugar,PHP/LKg,1,1658.62,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
