0,1,2,3,4,5
Month,"""A"" Export","""B"" Domestic","""D"" World",Composite Price,"Molasses(Pesos/MT)"
"September, 2013",706.67,"1,462.33",738.92,"1,360.41","5,659.77"
October,784.19,"1,434.30",829.25,"1,348.69","6,040.82"
November,771.00,"1,465.37",814.58,"1,373.39","6,349.94"
December,742.77,"1,430.07",777.07,"1,337.96","6,084.58"
"January,  2014",752.19,"1,411.15",747.38,"1,318.32","6,102.01"
February,792.28,"1,456.66",783.43,"1,383.31","5,996.65"
March,810.68,"1,519.81",814.16,"1,480.64","5,805.82"
April,855.58,"1,646.14",838.08,"1,614.17","6,038.04"
May,906.48,"1,710.43",,"1,694.35","5,860.58"
June,951.60,"1,652.59",,"1,638.57","6,187.50"
July,700.00,"1,622.52",,"1,604.07",
August,905.00,"1 ,621.25",,"1,606.93",
AVERAGE,806.54,"1,536.05",7 92.86,"1,480.07","6,012.57"
