0,1,2,3,4,5
Month,"""A"" Export","""B"" Domestic","""D"" World",Composite Price,"Molasses(Pesos/MT)"
"September, 2012",999.85,"1 ,538.12",953.43,"1,437.52","5,665.38"
October,877.96,"1 ,374.11",875.11,"1,284.58","6,370.20"
November,779.75,"1 ,307.02",788.21,"1,212.79","5,380.38"
December,777.41,"1 ,297.31",795.09,"1,205.14","5,619.31"
"January,  2013",792.09,"1 ,336.53",773.91,"1,237.08","5,846.00"
February,751.00,"1 ,363.50",778.25,"1,255.43","5,552.00"
March,712.40,"1 ,378.40",778.80,"1,263.83","5,586.40"
April,676.25,"1 ,436.25",748.75,"1,305.25","5,982.25"
May,643.07,"1 ,435.09",714.95,"1,298.28","5,620.21"
June,647.00,"1 ,438.20",727.00,"1,302.18","6,625.00"
July,636.25,"1 ,422.50",687.50,"1,285.08","6,125.00"
August,656.67,"1 ,416.25",646.67,"1,278.73","5,918.75"
AVERAGE,745.81,"1,395.27",772.31,"1,280.49","5 ,857.57"
