0,1,2,3,4
Month,"""A"" Export","""B"" Domestic",Composite Price,"Molasses(Pesos/MT)"
"September, 2010","1,335.00","2 ,304.49","2,236.63","8,773.75"
October,"1,451.19","2 ,442.18","2,372.81","9,059.61"
November,"1,514.54","2 ,478.94","2,411.43","9,169.23"
December,"1,497.30","2 ,277.74","2,223.11","7,522.23"
"January, 2011","1,549.75","2 ,291.09","2,239.20","6,799.42"
February,"1,585.54","2 ,050.58","2,018.03","6,552.68"
March,"1,558.82","1 ,848.00","1,827.76","5,411.88"
April,"1,501.30","1 ,789.53","1,769.35","4,527.50"
May,"1,256.89","1 ,462.20","1,447.83","3,022.67"
June,"1,164.55","1 ,326.83","1,315.47","2,818.99"
July,"1,124.33","1 ,280.67","1,269.73","2,406.50"
August,"1,122.50","1 ,245.00","1 ,236.43","2,605.00"
AVERAGE,"1,388.48","1,899.77","1,863.98","5,722.46"
