0,1,2,3,4,5,6,7,8,9
Period,WHOLESALE (Peso per LKg),RETAIL (Peso per Kilo),,,,,,,
,Raw,Washed,Refined,Raw,Washed,Refined,,,
September 2021,"1,800.00","1,950.00","2,350.00",*,42.00,*,45.0,*,50.0
,,,,**,45.00,**,49.0,**,54.5
October,"1,800.00","1,950.00","2,400.00",*,45.00,*,45.0,*,50.0
,,,,**,45.00,**,49.0,**,54.5
November,"1,850.00","1,950.00","2,450.00",*,45.00,*,45.0,*,55.0
,,,,**,45.00,**,49.0,**,54.5
December,"1,850.00","1,950.00","2,450.00",*,45.00,*,48.0,*,55.0
,,,,**,45.00,**,49.0,**,54.5
January  2022,"1,950.00","2,200.00","2,900.00",*,48.00,*,48.0,*,60.0
,,,,**,45.00,**,52.0,**,54.5
February,"2,000.00","2,120.00","2,950.00",*,50.00,*,55.0,*,68.0
,,,,**,52.00,**,54.0,**,64.5
March,"2,000.00","2,180.00","2,950.00",*,50.00,*,55.0,*,68.0
,,,,**,52.00,**,54.0,**,63.0
April,"2,300.00","2,350.00","3,100.00",*,50.00,*,52.0,*,70.0
,,,,**,52.00,**,54.0,**,65.0
May,"2,550.00","2,700.00","3,250.00",*,55.00,*,60.0,*,70.0
,,,,**,54.00,**,58.0,**,69.0
June,"2,700.00","2,800.00","3,500.00",*,60.00,*,65.0,*,70.0
,,,,**,59.00,**,61.0,**,71.0
July,"3,000.00","3,250.00","4,200.00",*,70.00,*,70.0,*,90.0
,,,,**,64.00,**,66.0,**,84.5
August,"3,300.00","3,350.00","4,650.00",*,70.00,*,75.0,*,100.0
,,,,**,69.50,**,73.5,**,99.0
,,,,,,,,,
,,,,,,,,,
,,,,*,52.50,*,55.25,*,67.17
Average,"2,258.33","2,395.83","3,095.83",**,52.29,**,55.71,**,65.71
