0,1,2,3,4,5,6,7,8,9
Period,WHOLESALE (Peso per LKg),RETAIL (Peso per Kilo),,,,,,,
,Raw,Washed,Refined,Raw,Washed,Refined,,,
September 2023,"3,500.00","3,750.00","4,000.00",*,85.00,*,90.0,*,95.0
,,,,**,82.00,**,86.0,**,95.0
October,"3,500.00","3,750.00","4,000.00",*,80.00,*,85.0,*,95.0
,,,,**,82.00,**,86.0,**,95.0
November,"3,200.00","3,350.00","4,000.00",*,80.00,*,85.0,*,90.0
,,,,**,82.00,**,86.0,**,95.0
December,"3,150.00","3,400.00","3,500.00",*,80.00,*,80.0,*,85.0
,,,,**,82.00,**,87.0,**,95.0
January  2024,"2,950.00","3,100.00","3,500.00",*,75.00,*,80.0,*,85.0
,,,,**,82.00,**,87.0,**,88.0
February,"2,950.00","3,000.00","3,500.00",*,75.00,*,80.0,*,85.0
,,,,**,80.00,**,87.0,**,88.0
March,"2,900.00","3,050.00","3,500.00",*,75.00,*,75.0,*,80.0
,,,,**,82.00,**,87.0,**,88.0
April,"3,100.00","3,150.00","3,700.00",*,75.00,*,80.0,*,85.0
,,,,**,80.00,**,87.0,**,88.0
May,"3,150.00","3,150.00","3,700.00",*,75.00,*,80.0,*,85.0
,,,,**,80.00,**,87.0,**,88.0
June,"3,000.00","3,150.00","3,600.00",*,80.00,*,80.0,*,85.0
,,,,**,80.00,**,87.0,**,88.0
July,"3,100.00","3,150.00","3,550.00",*,75.00,*,80.0,*,85.0
,,,,**,80.00,**,85.0,**,88.0
August,"2,940.00","3,100.00","3,440.00",*,76.00,*,80.0,*,83.0
,,,,**,77.20,**,78.0,**,85.6
,,,,*,77.58,*,81.25,*,86.5
Average,"3,120.00","3,258.33","3,665.83",**,80.77,**,85.83,**,90.13
