0,1,2,3,4,5,6,7,8,9
Period,WHOLESALE (Peso per LKg),RETAIL (Peso per Kilo),,,,,,,
,Raw,Washed,Refined,Raw,Washed,Refined,,,
September 2023,"3,512.47","3,773.07","4,016.97",*,83.87,*,86.25,*,93.08
,,,,**,87.04,**,90.59,**,101.86
October,"3,380.58","3,675.63","3,924.17",*,83.02,*,85.14,*,91.44
,,,,**,87.26,**,90.32,**,101.03
November,"3,265.66","3,524.02","3,826.74",*,81.48,*,84.62,*,91.06
,,,,**,87.12,**,90.13,**,100.39
December,"3,122.13","3,335.00","3,620.50",*,79.83,*,82.74,*,88.72
,,,,**,86.73,**,89.63,**,98.93
January  2024,"2,942.95","3,138.71","3,521.57",*,77.66,*,81.75,*,86.96
,,,,**,85.83,**,88.94,**,96.91
February,"2,914.64","3,100.96","3,496.67",*,76.52,*,81.17,*,86.27
,,,,**,85.16,**,88.56,**,96.02
March,"2,976.43","3,087.46","3,568.86",*,76.33,*,79.51,*,85.4
,,,,**,84.49,**,87.83,**,94.31
April,"3,024.21","3,129.81","3,631.43",*,76.20,*,78.27,*,85.85
,,,,**,84.04,**,87.48,**,93.24
May,"3,053.67","3,146.90","3,674.49",*,77.04,*,79.11,*,85.54
,,,,**,83.72,**,87.0,**,93.5
June,"3,047.00","3,156.93","3,674.12",*,78.07,*,79.79,*,86.73
,,,,**,83.15,**,86.72,**,93.3
July,"3,031.37","3,165.87","3,663.15",*,77.50,*,79.62,*,85.63
,,,,**,82.42,**,85.81,**,92.6
August,"3,025.31","3,164.43","3,614.38",*,76.92,*,78.77,*,84.66
,,,,**,82.24,**,84.79,**,92.36
,,,,*,78.70,*,81.4,*,87.61
Average,"3,108.04","3,283.23","3,686.09",**,84.93,**,88.15,**,96.2
