0,1,2,3,4,5,6,7,8,9
Period,WHOLESALE (Peso per LKg),RETAIL (Peso per Kilo),,,,,,,
,Raw,Washed,Refined,Raw,Washed,Refined,,,
September 2022,"3,383.35","3,516.90","4,606.58",*,73.27,*,75.93,*,97.86
,,,,**,74.74,**,76.07,**,95.02
October,"3,971.75","4,113.09","4,800.00",*,85.61,*,88.95,*,102.7
,,,,**,82.72,**,81.61,**,99.7
November,"3,797.68","3,974.45","4,545.20",*,85.47,*,88.86,*,101.07
,,,,**,87.97,**,88.72,**,101.85
December,"3,702.47","3,875.11","4,404.36",*,85.54,*,88.43,*,97.79
,,,,**,88.68,**,89.81,**,101.45
January  2023,"3,698.41","3,843.06","4,471.37",*,85.48,*,88.09,*,97.22
,,,,**,89.56,**,90.35,**,100.78
February,"3,761.82","3,870.28","4,559.55",*,87.36,*,89.29,*,98.34
,,,,**,89.51,**,91.28,**,104.45
March,"3,623.24","3,775.26","4,362.43",*,86.98,*,89.33,*,98.06
,,,,**,89.77,**,91.59,**,105.47
April,"3,581.07","3,722.29","4,258.04",*,86.63,*,89.7,*,98.86
,,,,**,90.04,**,91.86,**,105.7
May,"3,644.64","3,781.67","4,203.21",*,86.13,*,88.38,*,97.43
,,,,**,89.14,**,91.52,**,105.43
June,"3,694.72","3,820.16","4,165.43",*,85.66,*,88.01,*,96.22
,,,,**,88.14,**,91.16,**,104.16
July,"3,673.75","3,817.92","4,077.31",*,85.33,*,87.68,*,95.31
,,,,**,87.92,**,91.22,**,103.87
August,"3,673.00","3,802.67","4,047.07",*,84.86,*,87.25,*,94.28
,,,,**,87.32,**,90.73,**,102.59
,,,,*,84.86,*,87.49,*,97.93
Average,"3,683.83","3,826.07","4,375.05",**,87.13,**,88.83,**,102.54
