0,1,2,3,4,5,6,7,8,9
Period,WHOLESALE (Peso per LKg),RETAIL (Peso per Kilo),,,,,,,
,Raw,Washed,Refined,Raw,Washed,Refined,,,
September 2024,"3,000.00","3,100.00","3,400.00",*,75.00,*,80.0,*,80.0
,,,,**,76.00,**,78.0,**,84.0
October,"3,000.00","3,200.00","3,400.00",*,75.00,*,80.0,*,80.0
,,,,**,73.00,**,76.0,**,82.0
November,"3,150.00","3,300.00","3,500.00",*,70.00,*,80.0,*,80.0
,,,,**,73.00,**,76.0,**,82.0
December,"3,150.00","3,300.00","3,500.00",*,80.00,*,80.0,*,80.0
,,,,**,73.00,**,76.0,**,82.0
January  2025,"3,150.00","3,300.00","3,500.00",*,80.00,*,80.0,*,80.0
,,,,**,73.00,**,76.0,**,79.0
February,"3,150.00","3,300.00","3,700.00",*,80.00,*,80.0,*,80.0
,,,,**,73.00,**,86.0,**,79.0
March,"3,200.00","3,300.00","3,700.00",*,80.00,*,80.0,*,85.0
,,,,**,73.00,**,86.0,**,87.0
April,"3,200.00","3,300.00","3,800.00",*,75.00,*,80.0,*,85.0
,,,,**,73.00,**,86.0,**,87.0
May,"3,250.00","3,300.00","3,800.00",*,75.00,*,80.0,*,85.0
,,,,**,73.00,**,76.0,**,87.0
June,"3,200.00","3,300.00","3,800.00",*,75.00,*,80.0,*,85.0
,,,,**,73.00,**,76.0,**,87.0
July,"3,200.00","3,300.00","3,600.00",*,75.00,*,80.0,*,85.0
,,,,**,73.00,**,76.0,**,87.0
August,"3,200.00","3,300.00","3,600.00",*,75.00,*,80.0,*,85.0
,,,,**,73.00,**,76.0,**,87.0
September 2025,"3,100.00","3,200.00","3,400.00",*,75.00,*,80.0,*,85.0
,,,,**,73.00,**,76.0,**,87.0
,,,,*,76.15,*,80.0,*,82.69
Average,"3,150.00","3,269.23","3,592.31",**,73.23,**,78.46,**,84.38
