0,1,2,3,4,5,6,7,8,9
Period,WHOLESALE (Peso per LKg),"RETAIL (Peso per Kilo)RawWashedRefined",,,,,,,
,Raw,Washed,Refined,Washed,Refined,,,,
September 2020,"1,700.00","1,850.00","2,200.00",*,44.00,*,45.0,*,50.0
,,,,**,45.00,**,49.0,**,50.0
October,"1,700.00","1,800.00","2,150.00",*,45.00,*,45.0,*,50.0
,,,,**,45.00,**,49.0,**,50.0
November,"1,700.00","1,800.00","2,100.00",*,45.00,*,48.0,*,50.0
,,,,**,45.00,**,48.5,**,50.0
December,"1,700.00","1,900.00","2,200.00",*,45.00,*,48.0,*,50.0
,,,,**,45.00,**,48.5,**,50.0
January  2021,"1,700.00","1,800.00","2,150.00",*,44.00,*,45.0,*,55.0
,,,,**,45.00,**,48.5,**,50.0
February,"1,700.00","1,800.00","2,200.00",*,44.00,*,48.0,*,55.0
,,,,**,45.00,**,49.0,**,50.0
March,"1,700.00","1,800.00","2,200.00",*,45.00,*,45.0,*,55.0
,,,,**,45.00,**,50.0,**,50.0
April,"1,750.00","1,880.00","2,250.00",*,45.00,*,48.0,*,50.0
,,,,**,45.00,**,50.0,**,50.0
May,"1,800.00","1,900.00","2,300.00",*,45.00,*,48.0,*,50.0
,,,,**,45.00,**,52.0,**,54.5
June,"1,800.00","1,900.00","2,350.00",*,45.00,*,48.0,*,55.0
,,,,**,45.00,**,49.0,**,54.5
July,"1,800.00","1,950.00","2,350.00",*,45.00,*,48.0,*,55.0
,,,,**,45.00,**,49.0,**,54.5
August,"1,800.00","1,950.00","2,350.00",*,45.00,*,48.0,*,55.0
,,,,**,45.00,**,49.0,**,54.5
,,,,*,44.75,*,47.0,*,52.5
Average,"1,737.50","1,860.83","2,233.33",**,45.00,**,49.29,**,51.5
