0,1,2,3,4,5,6,7,8,9
Period,WHOLESALE (Peso per LKg),,RETAIL (Peso per Kilo),,,,,,
,Raw,Washed,Refined,Raw,,Washed,,Refined,
September 2021,"1,818.25","1,987.67","2,343.25",*,45.06,*,46.33,*,52.53
,,,,**,46.96,**,50.85,**,54.55
October,"1,812.19","1,975.83","2,384.69",*,44.97,*,46.45,*,52.89
,,,,**,47.09,**,50.95,**,55.0
November,"1,837.50","1,984.17","2,411.25",*,45.18,*,46.64,*,53.7
,,,,**,47.02,**,50.58,**,55.42
December,"1,848.75","1,989.33","2,455.75",*,45.2,*,46.77,*,54.13
,,,,**,47.31,**,50.66,**,55.68
January  2022,"1,957.19","2,092.08","2,813.44",*,46.11,*,47.84,*,57.0
,,,,**,47.8,**,50.97,**,56.45
February,"2,009.59","2,133.75","2,981.25",*,49.8,*,52.75,*,67.13
,,,,**,50.28,**,52.42,**,62.39
March,"2,044.49","2,163.70","2,983.17",*,50.68,*,53.29,*,67.34
,,,,**,51.19,**,53.12,**,65.33
April,"2,316.27","2,422.03","3,134.90",*,52.1,*,54.4,*,68.37
,,,,**,52.56,**,54.81,**,67.23
May,"2,570.79","2,701.19","3,234.79",*,57.14,*,59.18,*,69.89
,,,,**,55.78,**,58.32,**,70.13
June,"2,738.74","2,850.04","2,560.60",*,61.52,*,63.75,*,74.84
,,,,**,59.13,**,60.99,**,72.67
July,"3,044.61","3,195.35","4,235.73",*,67.96,*,70.16,*,89.9
,,,,**,65.95,**,68.14,**,85.6
August,"3,230.13","3,359.61","4,575.01",*,72.11,*,74.29,*,96.7
,,,,**,73.16,**,75.69,**,96.59
,,,,,,,,,
,,,,,,,,,
,,,,*,53.15,*,55.15,*,67.04
Average,"2,269.04","2,404.56","3,009.49",**,53.69,**,56.46,**,66.42
