0,1,2,3,4,5,6,7,8,9
Period,WHOLESALE (Peso per LKg),RETAIL (Peso per Kilo),,,,,,,
,Raw,Washed,Refined,Raw,Washed,Refined,,,
September 2024,"3,024.22","3,166.43","3,593.44",*,76.89,*,79.35,*,84.52
,,,,**,81.27,**,83.86,**,91.6
October,"3,026.00","3,204.57","3,591.38",*,76.17,*,78.31,*,84.59
,,,,**,80.57,**,83.31,**,90.83
November,"3,050.78","3,277.32","3,573.29",*,74.70,*,77.21,*,83.6
,,,,**,82.21,**,83.27,**,90.07
December,"3,052.50","3,288.93","3,575.63",*,74.23,*,76.46,*,82.96
,,,,**,79.97,**,83.1,**,89.35
January  2025,"3,060.94","3,299.29","3,570.63",*,74.43,*,77.18,*,83.12
,,,,**,79.42,**,82.65,**,88.72
February,"3,121.41","3,302.50","3,606.88",*,74.37,*,77.35,*,82.91
,,,,**,79.56,**,82.69,**,88.41
March,"3,234.12","3,299.90","3,698.35",*,76.17,*,78.96,*,83.46
,,,,**,80.00,**,83.18,**,88.95
April,"3,200.00","3,288.54","3,722.75",*,76.50,*,79.27,*,83.18
,,,,**,79.90,**,82.98,**,89.33
May,"3,153.94","3,258.73","3,669.59",*,75.65,*,78.11,*,83.01
,,,,**,79.70,**,83.07,**,89.24
June,"3,139.07","3,244.55","3,639.46",*,74.81,*,77.81,*,83.56
,,,,**,79.32,**,82.85,**,89.26
July,"3,122.66","3,240.36","3,638.91",*,74.48,*,77.64,*,83.37
,,,,**,79.22,**,82.65,**,89.26
August,"3,072.93","3,211.14","3,545.88",*,75.03,*,78.35,*,84.17
,,,,**,79.21,**,82.61,**,89.39
September 2025,"3,012.19","3,175.00","3,477.35",*,76.21,*,79.08,*,84.64
,,,,**,79.36,**,82.61,**,89.27
,,,,*,75.36,*,78.08,*,83.62
Average,"3,097.75","3,250.56","3,607.96",**,79.98,**,82.99,**,89.51
