0,1,2,3,4,5,6,7,8,9
Period,WHOLESALE (Peso per LKg),,RETAIL (Peso per Kilo),,,,,,
,Raw,Washed,Refined,Raw,,Washed,,Refined,
September 2020,"1,741.33","1,862.57","2,151.45",*,44.68,*,46.69,*,52.51
,,,,**,47.61,**,51.02,**,54.71
October,"1,706.94","1,855.36","2,121.95",*,45.03,*,46.68,*,52.12
,,,,**,47.05,**,50.49,**,54.15
November,"1,695.28","1,852.86","2,118.61",*,44.96,*,47.05,*,52.55
,,,,**,47.2,**,50.57,**,54.39
December,"1,700.89","1,852.00","2,152.44",*,44.28,*,46.73,*,52.54
,,,,**,46.82,**,50.48,**,54.07
January  2021,"1,711.11","1,847.14","2,165.56",*,44.88,*,46.95,*,53.09
,,,,**,46.41,**,50.26,**,53.67
February,"1,719.45","1,849.29","2,172.64",*,45.27,*,47.25,*,53.23
,,,,**,46.01,**,49.92,**,53.18
March,"1,740.61","1,860.00","2,202.72",*,44.89,*,46.99,*,53.07
,,,,**,45.94,**,49.94,**,53.18
April,"1,801.56","1,932.08","2,275.94",*,44.82,*,46.57,*,52.57
,,,,**,46.01,**,50.04,**,53.37
May,"1,821.88","1,963.75","2,311.56",*,44.73,*,46.5,*,52.77
,,,,**,46.75,**,50.63,**,54.16
June,"1,827.25","1,979.67","2,312.00",*,44.9,*,46.57,*,53.13
,,,,**,46.98,**,50.77,**,54.3
July,"1,835.94","2,031.67","2,309.38",*,45.18,*,46.54,*,52.84
,,,,**,47.02,**,50.76,**,54.36
August,"1,832.19","2,037.09","2,309.06",*,45.31,*,46.43,*,52.95
,,,,**,47.0,**,50.81,**,54.45
,,,,*,44.91,*,46.75,*,52.78
Average,"1,761.20","1,910.29","2,216.94",**,46.73,**,50.47,**,54.0
