0,1,2,3,4
Month,"""A"" Export","""B"" Domestic",Composite Price,"Molasses(Pesos/MT)"
"September, 2021",,"1,597.37","1,597.37","10,037.69"
October,,"1,708.81","1,708.81","10,385.11"
November,,"1,680.67","1,680.67","10,716.26"
December,,"1,735.39","1,735.39","10,617.27"
"January,  2022",,"1,889.43","1,889.43","11,197.66"
February,,"1,816.10","1,816.10","11,426.29"
March,,"2,022.94","2,022.94","11,617.55"
April,,"2,184.18","2,184.18","11,766.47"
May,,"2,273.26","2,273.26","11,414.15"
June,,"2,348.83","2,348.83","12,670.09"
July,,"2,370.00","2,370.00","12,831.50"
August,,"2,875.47","2,875.47","12,991.16"
AVERAGE,,"2,041.87","2,041.87","11,472.60"
