0,1,2,3,4
Month,"""A"" Export","""B"" Domestic",Composite Price,"Molasses(Pesos/MT)"
"September, 2022",,"3,363.71","3,363.71","13,368.39"
October,,"3,311.77","3,311.77","13,813.78"
November,,"3,269.76","3,269.76","13,746.46"
December,,"3,058.46","3,058.46","13,380.56"
"January,  2023",,"3,425.27","3,425.27","13,387.33"
February,,"3,091.99","3,091.99","13,328.40"
March,,"3,100.77","3,100.77","13,454.62"
April,,"3,177.19","3,177.19","14,117.12"
May,,"3,120.01","3,120.01","14,071.95"
June,,"3,033.33","3,033.33","15,364.58"
July,,"3,000.00","3,000.00","15,450.00"
August,,Terminated,,
AVERAGE,,"3,177.48","3,177.48","13,953.02"
